HIP|RAhms|DEdms|Vmag|RAICRS|DEICRS
 37629|07 43 18.69|+28 53 02.7| 4.23|115.82785545|+28.88407170
 37648|07 43 32.40|-28 24 39.4| 4.63|115.88498187|-28.41095714
 37664|07 43 41.83|-40 56 00.0| 5.12|115.92428224|-40.93332961
 37677|07 43 48.47|-28 57 17.4| 3.94|115.95196716|-28.95483520
 37701|07 44 04.19|+50 26 01.9| 5.31|116.01744892|+50.43386115
 37704|07 44 06.92|+25 47 03.2| 5.30|116.02884762|+25.78421056
 37710|07 44 09.74|-36 03 45.8| 5.80|116.04059732|-36.06271326
 37740|07 44 26.87|+24 23 53.3| 3.57|116.11195237|+24.39812929
 37751|07 44 34.17|-24 40 26.7| 5.62|116.14238612|-24.67409186
 37752|07 44 34.20|-37 56 34.6| 5.89|116.14249707|-37.94295545
 37819|07 45 15.30|-37 58 07.0| 3.62|116.31376631|-37.96859848
 37826|07 45 19.36|+28 01 34.7| 1.16|116.33068263|+28.02631031
 37853|07 45 35.18|-34 10 35.6| 5.36|116.39657467|-34.17655092
 37891|07 45 56.88|-14 33 49.8| 5.03|116.48698643|-14.56382026
 37901|07 46 02.16|-06 46 20.2| 5.49|116.50900614|-06.77228458
 37908|07 46 07.49|+18 30 36.6| 4.89|116.53122379|+18.51016877
 37915|07 46 10.56|-37 56 01.3| 5.87|116.54399474|-37.93370008
 37921|07 46 16.22|+10 46 05.9| 5.25|116.56757952|+10.76831128
 37946|07 46 39.26|+37 31 02.5| 5.15|116.66358038|+37.51736326
 37949|07 46 40.04|+65 27 20.3| 5.93|116.66682971|+65.45563092
 37995|07 47 12.56|-22 31 10.3| 5.90|116.80232686|-22.51953536
 38010|07 47 25.00|-38 30 40.2| 5.07|116.85416576|-38.51115599
 38016|07 47 30.34|+33 24 56.8| 5.14|116.87640290|+33.41576665
 38020|07 47 31.51|-46 36 30.6| 5.22|116.88129103|-46.60850937
 38048|07 47 56.78|-12 11 34.4| 5.48|116.98659214|-12.19289276
 38070|07 48 05.17|-25 56 13.8| 4.40|117.02156206|-25.93718054
 38089|07 48 20.25|-47 04 39.1| 4.69|117.08436527|-47.07753199
 38146|07 49 01.70|-24 54 44.1| 5.32|117.25706910|-24.91224336
 38152|07 49 06.72|-56 24 37.4| 5.57|117.27800960|-56.41038485
 38159|07 49 12.87|-46 51 27.9| 5.82|117.30361005|-46.85774089
 38160|07 49 12.95|-60 17 02.5| 5.78|117.30394188|-60.28402896
 38164|07 49 14.30|-46 22 23.6| 4.10|117.30957923|-46.37322729
 38167|07 49 14.65|-35 14 35.9| 5.94|117.31105571|-35.24330796
 38170|07 49 17.66|-24 51 35.2| 3.34|117.32357809|-24.85978401
 38200|07 49 35.43|-33 17 20.2| 5.61|117.39761883|-33.28895425
 38210|07 49 41.00|-66 11 45.5| 5.78|117.42081658|-66.19597303
 38211|07 49 41.17|-17 13 41.2| 5.17|117.42153403|-17.22812300
 38253|07 50 10.58|-09 11 00.4| 5.60|117.54406881|-09.18344160
 38267|07 50 23.88|-50 30 33.7| 5.89|117.59951934|-50.50936470
 38373|07 51 42.00|+01 46 00.8| 5.12|117.92498666|+01.76687765
 38375|07 51 43.05|-21 10 25.5| 5.62|117.92939105|-21.17374245
 38382|07 51 46.34|-13 53 49.9| 5.16|117.94309895|-13.89719057
 38414|07 52 13.05|-40 34 32.9| 3.71|118.05435622|-40.57579889
 38423|07 52 15.80|-34 42 21.7| 5.01|118.06584635|-34.70602121
 38427|07 52 18.88|-14 50 46.2| 5.69|118.07868058|-14.84617833
 38438|07 52 29.75|-54 22 01.9| 5.70|118.12394382|-54.36718432
 38455|07 52 38.65|-38 51 46.2| 4.49|118.16105542|-38.86282206
 38474|07 52 47.87|-05 25 41.5| 5.76|118.19946278|-05.42818693
 38497|07 53 03.51|-36 21 49.6| 5.44|118.26464297|-36.36377387
 38500|07 53 03.64|-49 36 47.1| 4.63|118.26517655|-49.61307949
 38518|07 53 18.16|-48 06 10.6| 4.22|118.32567862|-48.10294824
 38538|07 53 29.84|+26 45 57.1| 4.97|118.37431874|+26.76585858
 38593|07 54 11.01|-35 52 38.3| 5.48|118.54588048|-35.87729557
 38639|07 54 42.74|+47 33 52.5| 5.47|118.67807760|+47.56459225
 38656|07 54 53.39|-57 18 10.4| 5.62|118.72246913|-57.30288338
 38712|07 55 31.44|+08 51 47.0| 5.86|118.88099024|+08.86305710
 38722|07 55 39.90|+19 53 02.6| 5.38|118.91626746|+19.88406657
 38783|07 56 18.65|-60 31 35.3| 5.74|119.07772578|-60.52646168
 38827|07 56 46.74|-52 58 56.6| 3.46|119.19475729|-52.98240062
 38835|07 56 51.56|-22 52 48.5| 4.20|119.21482616|-22.88014849
 38846|07 56 57.81|-43 30 01.5| 5.36|119.24087180|-43.50042396
 38848|07 56 59.47|+15 47 25.4| 5.80|119.24778711|+15.79038246
 38872|07 57 18.43|-44 06 35.6| 5.08|119.32679394|-44.10987569
 38901|07 57 40.11|-30 20 04.5| 4.76|119.41713237|-30.33458703
 38908|07 57 46.30|-60 18 12.1| 5.59|119.44293578|-60.30336068
 38917|07 57 51.73|-45 34 39.9| 5.14|119.46555642|-45.57774475
 38957|07 58 14.44|-49 14 41.7| 4.47|119.56018303|-49.24492865
 38962|07 58 20.75|+02 13 28.3| 5.30|119.58644862|+02.22452544
 38994|07 58 50.56|-60 49 28.2| 5.77|119.71065387|-60.82448838
 39014|07 59 01.81|-45 12 57.1| 5.98|119.75754809|-45.21586305
 39023|07 59 05.72|-23 18 37.4| 5.09|119.77384363|-23.31040264
 39061|07 59 28.43|-39 17 48.6| 5.22|119.86843828|-39.29683773
 39070|07 59 37.55|-60 35 13.5| 5.19|119.90644286|-60.58708857
 39079|07 59 44.18|-03 40 46.5| 4.93|119.93410303|-03.67957835
 39095|07 59 52.06|-18 23 56.9| 4.61|119.96689649|-18.39914242
 39117|08 00 11.76|+73 55 04.8| 5.37|120.04898399|+73.91801010
 39138|08 00 19.97|-63 34 03.0| 4.81|120.08320513|-63.56750271
 39177|08 00 47.31|+17 18 31.4| 5.60|120.19714045|+17.30870968
 39184|08 00 49.96|-54 09 04.7| 5.87|120.20818254|-54.15129599
